model,n_components,k,cov,tr_silhouette,tr_calinski_harabasz,tr_davies_bouldin,te_silhouette,te_calinski_harabasz,te_davies_bouldin
PCA+GMM,5,6,full,0.0566321156249628,1835.0449937851668,4.137973132032871,0.05275176503547162,441.60634493932207,4.037701405795352
PCA+GMM,5,6,tied,0.1674362205511323,3439.531448861185,1.457402536706743,0.1682766944447619,845.9748529850659,1.4441025398664935
PCA+GMM,5,6,diag,0.07479474420819221,1444.7847581591902,2.948891029933831,0.07245327761048324,364.3817845450304,2.9667659546461405
PCA+GMM,5,6,spherical,0.17575276430496484,4141.77886290948,1.32121895800426,0.17412874322511931,1021.1876395910409,1.3100456856474751
PCA+GMM,5,8,full,-0.01587357398510855,1234.2521978509112,3.561064867459053,-0.014637741102948285,311.83894481514255,3.560304400485852
PCA+GMM,5,8,tied,0.16972418729737498,3304.5399211181684,1.4200489716191895,0.16356722169673263,792.0090158147632,1.4348316145200666
PCA+GMM,5,8,diag,0.018626233109136605,1396.9890181402504,2.342185712238,0.015384771178496763,345.5441794545566,2.3312312694810764
PCA+GMM,5,8,spherical,0.17974028640533665,3772.2130987730643,1.2328324720666002,0.17605622176083197,918.8484065613161,1.2467033928309803
PCA+GMM,5,10,full,-0.041710569188655185,972.7657921416553,3.4074114759507075,-0.059206844355875456,228.98532663463848,3.3419157261151886
PCA+GMM,5,10,tied,0.16632355745060257,3063.4457085643135,1.4089037957135002,0.1656291358358426,752.5491701743989,1.4071251236444757
PCA+GMM,5,10,diag,0.016484485148404688,1105.4071243370647,3.096833391779396,0.01391430006041436,275.42841858475043,3.1808646632652757
PCA+GMM,5,10,spherical,0.17879176324992965,3423.177021733073,1.2724308306717624,0.17917050596518266,846.9816000982852,1.2785040830427072
PCA+GMM,8,2,full,0.45459258581625106,2348.183944093946,0.7219219693140408,0.4513086335733719,573.6108190627776,0.7265023638925208
PCA+GMM,8,2,tied,0.1819232852694611,3787.5567012215784,1.8878364925956452,0.17710797286538071,909.8205469273122,1.929756939871635
PCA+GMM,8,2,diag,0.45459258581625106,2348.183944093946,0.7219219693140408,0.4513086335733719,573.6108190627776,0.7265023638925208
PCA+GMM,8,2,spherical,0.18023873871581603,3746.451285119667,1.8983125699080545,0.1760135477395389,899.0539081663948,1.9388024573908162
PCA+GMM,8,3,full,0.048870631990762504,1283.0452048400225,4.764673323904792,0.044171249093665474,313.1841481101607,4.753989879409322
PCA+GMM,8,3,tied,0.21287426072167878,3758.7174677471257,1.4053391883201989,0.2081412713352809,908.5282815534433,1.4265694948157899
PCA+GMM,8,3,diag,0.11302742973726827,2044.7470807246302,2.26179314725309,0.11455421626088612,509.68313398933583,2.2326413967899486
PCA+GMM,8,3,spherical,0.2146278622183377,3794.257230212568,1.3971860683498065,0.21082427812376625,919.8190863612149,1.4150753235565456
PCA+GMM,8,4,full,0.06297628286562286,1601.5676488016263,3.1236681246282347,0.05882537728659794,380.5580770997386,3.1319038993492816
PCA+GMM,8,4,tied,0.09176324886026876,2046.2415277643654,2.8442391413883135,0.08465582073705534,493.5743038376576,2.876526875647565
PCA+GMM,8,4,diag,0.07297872221863243,1551.8851040154282,3.0469887646124163,0.07448623845445172,389.237191471109,3.007660117344027
PCA+GMM,8,4,spherical,0.18813461590085284,3669.400479115668,1.3886677399811689,0.18975168434919032,909.1419530847058,1.383909654352415
PCA+GMM,8,5,full,0.03530063216042618,1434.0450457654595,2.2025919929902544,0.03637398676513168,363.4876767164125,2.1405046181729874
PCA+GMM,8,5,tied,0.08877268402815575,1788.4534961188215,1.7870828732101458,0.09336414319385068,449.9734088856611,1.8113706458303476
PCA+GMM,8,5,diag,0.14833354938682483,3016.2285131612343,1.6144081917503172,0.1472416583582181,735.3697042226818,1.620514697976016
PCA+GMM,8,5,spherical,0.16950854238848373,3380.7537777227412,1.4993179992677734,0.16686549349861063,824.5360259738434,1.5053649876254844
PCA+GMM,8,6,full,0.060690194356928726,1432.7680662384075,3.6439120405517187,0.06168385060981106,358.8176482356907,3.3328198861730596
PCA+GMM,8,6,tied,0.09473512086470726,1850.8223852257845,1.9102927458582115,0.09702249627811975,459.566202863268,1.9152600869742475
PCA+GMM,8,6,diag,0.05679050159403722,1169.5020052695136,3.4020443371040776,0.054360829425798195,297.7651314308543,3.3729871923470705
PCA+GMM,8,6,spherical,0.14981564987670884,3106.5725336968926,1.5689536707087635,0.15105072051883234,774.1597684953863,1.5384311181666002
PCA+GMM,8,8,full,0.03927637447954503,1019.0712606859244,3.5246977234384333,0.036779834000668366,251.70418840293695,3.461431900927284
PCA+GMM,8,8,tied,0.04275626668306803,1056.368003126676,3.40055578582739,0.04248907132870297,269.73995066752394,3.336802417647428
PCA+GMM,8,8,diag,0.022019101796586903,981.445513206664,3.2665704316508806,0.020371767325177887,251.56081480761657,3.214405310816133
PCA+GMM,8,8,spherical,0.14962290423628552,2686.1207320408475,1.5727540321354667,0.15087003870025253,669.4459771666852,1.5618860352063302
PCA+GMM,8,10,full,0.014481990080143153,855.5500663192802,2.8550505097016985,0.003934701413550188,206.3991035667907,2.857392090567628
PCA+GMM,8,10,tied,0.03208121540044849,939.6803445841555,2.9433412590794013,0.03568989322447106,243.47281692183586,2.842675992545289
PCA+GMM,8,10,diag,0.012407939360738782,785.6089940021276,3.821578689909696,0.014397992926587715,200.1215920335207,3.770498751233814
PCA+GMM,8,10,spherical,0.1523193992367762,2452.899403468007,1.5341236844609434,0.1542314860194909,617.0108283550856,1.5015772369651978
PCA+GMM,12,2,full,0.43129137990035393,2149.128125033232,0.762969616562404,0.4281715701301757,525.778990963641,0.767953217192702
PCA+GMM,12,2,tied,0.16506543744144855,3407.864077960148,2.013482842840297,0.1605911459394093,819.7482308705636,2.056408935924607
PCA+GMM,12,2,diag,0.1310029640083027,912.8885875650612,3.2841550126144248,0.12825609380310324,224.84296500867325,3.2717380777807836
PCA+GMM,12,2,spherical,0.1649403576710756,3405.9335228581267,2.0171743849800094,0.16106404456867113,819.5035893455863,2.0568529431377707
PCA+GMM,12,3,full,0.08902949621846298,1424.888987248178,2.6042010447924198,0.08367833468981742,347.9537154095001,2.595467423965145
PCA+GMM,12,3,tied,0.06647423505058468,966.4740543603358,3.9867627416261815,0.06779121938866177,252.55772214424857,4.021971266703527
PCA+GMM,12,3,diag,0.08902949621846298,1424.888987248178,2.6042010447924198,0.08367833468981742,347.9537154095001,2.595467423965145
PCA+GMM,12,3,spherical,0.12261331310072174,2637.7779817209534,1.9610364862989558,0.1202221678323283,649.3322790182501,1.950737111735478
PCA+GMM,12,4,full,0.12482545473437226,2333.1185410723106,1.8925682015723382,0.12512672752710216,578.8008155090333,1.8877684831180865
PCA+GMM,12,4,tied,0.09915918409582855,1713.3408052381112,1.8983545917692535,0.10075499241396942,433.7840162887208,1.8707009959618586
PCA+GMM,12,4,diag,0.06691664306914856,1218.8733884827222,3.0311457257335723,0.06707002920986052,298.99240361405396,3.056110403475894
PCA+GMM,12,4,spherical,0.17028808708556872,3208.346734058271,1.5061254146423344,0.17189773340772313,795.6060003879853,1.495364797269913
PCA+GMM,12,5,full,0.07966124552898524,1485.4144514647367,2.3871793353521156,0.07857820918045924,357.7768002823609,2.4020490409236346
PCA+GMM,12,5,tied,0.060916640148193084,1219.0428946971635,4.42142720071705,0.061924433912187334,307.79189208894735,4.410208127509389
PCA+GMM,12,5,diag,0.05722501014524867,987.4547586587048,2.9196749712455325,0.053897019640389295,243.26867061724045,2.92006545163501
PCA+GMM,12,5,spherical,0.14229902487188406,2897.552178484733,1.749699735132245,0.1440317454378148,719.7918861626695,1.7270061144563562
PCA+GMM,12,6,full,0.07733026484426701,1283.3332177498426,2.422348219408424,0.07219115395693156,308.24675809109857,2.4592613582372547
PCA+GMM,12,6,tied,0.07216131296681669,1529.992383683714,1.9659296130567014,0.07417078791695429,379.7603599766843,1.9590804392092842
PCA+GMM,12,6,diag,-7.177525492352002e-05,801.4241267312483,3.8932563191242977,-0.006662468397825505,196.2028836887571,3.935464687142963
PCA+GMM,12,6,spherical,0.133472985101912,2657.30436016869,1.7037616608202253,0.13420437180067235,661.8362900432148,1.6831679742221617
PCA+GMM,12,8,full,0.030710900927557867,1113.4383217963575,2.2596228084817644,0.026236695698306712,275.6851374257918,2.2547180725938
PCA+GMM,12,8,tied,0.04487259186925774,1109.3607685559025,2.41770779645047,0.04696696089366734,276.6637039800403,2.4275391318511765
PCA+GMM,12,8,diag,0.04045888122463756,830.1774817706313,3.4677852267867193,0.042210266401632404,210.96281249182636,3.44651356066997
PCA+GMM,12,8,spherical,0.13463729537703545,2315.2112492303286,1.6710020186107606,0.13732453625204638,571.4067305379043,1.642414150568499
PCA+GMM,12,10,full,0.03182407296362981,821.1613317402598,2.53316130799743,0.008178950971386616,197.98209993534732,2.4171918071486123
PCA+GMM,12,10,tied,0.0496130310071321,1143.1949082161054,2.513370090110683,0.04896803511638012,275.7298838456227,2.5636539212094833
PCA+GMM,12,10,diag,-0.04888616800105293,609.2627584551262,3.163317029388277,-0.053428419810276656,151.6091473332424,3.1103225880898795
PCA+GMM,12,10,spherical,0.12728597301235367,2033.9630413283137,1.7933750640449506,0.12555980622333462,501.75586471897077,1.8032520866665984
