model,n_components,k,cov,tr_silhouette,tr_calinski_harabasz,tr_davies_bouldin,te_silhouette,te_calinski_harabasz,te_davies_bouldin
SVD+GMM,2,6,diag,0.2998743604986286,8539.293289759107,0.8814012788777705,0.29339537427434004,2068.378579558705,0.8790234146591346
SVD+GMM,2,6,spherical,0.31784984755399387,9105.729706520562,0.8620314638028153,0.31419302490770185,2234.043699465348,0.8660153148693825
SVD+GMM,2,8,full,0.312669940160244,9008.431511657187,0.9129865762359376,0.31216134235362775,2214.140633161443,0.9158957686368971
SVD+GMM,2,8,tied,0.29231953282611867,8097.169975438948,0.8615868814570771,0.2965290352189049,2027.3632709343215,0.8540672008516779
SVD+GMM,2,8,diag,0.3115849374716472,8894.383992345447,0.8801002058921961,0.30578795439122325,2162.894689127963,0.8805330915293736
SVD+GMM,2,8,spherical,0.32048095677161414,9116.757997514867,0.8622408606231531,0.3157460175933203,2223.3276510864393,0.865463077293242
SVD+GMM,2,10,full,0.3200341984821693,8985.323207726518,0.8558773246759959,0.3252052617806984,2220.494710387914,0.8457376698692289
SVD+GMM,2,10,tied,0.30708791174635,8044.5517019863455,0.8085299101941532,0.31276990828626416,2024.4634787204898,0.8039849417649837
SVD+GMM,2,10,diag,0.3205050811144457,8967.263369540833,0.8483907247037299,0.3242261137292921,2220.864017633507,0.8403567893296546
SVD+GMM,2,10,spherical,0.32231568857162113,8992.449807622894,0.8345979414937409,0.32749442436232556,2238.0306663479796,0.8280493771308988
SVD+GMM,3,2,full,0.4786077402929182,2502.839498414276,0.6144149564495145,0.4697412567897121,599.0341906147027,0.6166632036878363
SVD+GMM,3,2,tied,0.27143321208987364,6304.2981169017385,1.3810645469430531,0.2646565135923782,1507.296395686016,1.4139081070670705
SVD+GMM,3,2,diag,0.4786077402929182,2502.839498414276,0.6144149564495145,0.4697412567897121,599.0341906147027,0.6166632036878363
SVD+GMM,3,2,spherical,0.26572297253336197,6077.166366588171,1.3858671662678619,0.2582730194299742,1441.2698373546518,1.4206385643604973
SVD+GMM,3,3,full,0.3098512564260215,5759.6306618005065,1.0313757720198984,0.3050533556385711,1380.517525389968,1.0447385545940528
SVD+GMM,3,3,tied,0.2635476211085806,5546.747485694756,1.3457419946700213,0.2635541417567776,1402.9192215130508,1.3285555641818247
SVD+GMM,3,3,diag,0.31034733416942695,5775.897414580621,1.0263510308522499,0.305873119169121,1381.9796636558926,1.041852086062473
SVD+GMM,3,3,spherical,0.26768380068678377,3463.437449042557,2.399559950075958,0.2568111933610265,794.6621152600754,2.6000746623697726
SVD+GMM,3,4,full,0.2870187701352533,6064.115721406536,0.9846644468034566,0.2888119096068581,1504.454271223361,0.9795314822970287
SVD+GMM,3,4,tied,0.2955027906942328,6436.25050637771,0.9546331187504982,0.2964911431301243,1583.251560548073,0.9544162312572568
SVD+GMM,3,4,diag,0.29344450381126613,6219.850178526269,0.9632676046356917,0.2956958100879687,1539.39933474373,0.9630127086168615
SVD+GMM,3,4,spherical,0.29404598727017583,6444.076871878501,0.9552268994333755,0.29460709776935284,1580.4681887401182,0.9519555258444232
SVD+GMM,3,5,full,0.2608824288715315,5830.153161973162,1.0562853607920828,0.25506318313809206,1405.6098909370862,1.0746092934468616
SVD+GMM,3,5,tied,0.2707583712327766,6268.434795625022,1.0236248314617715,0.2647859530777781,1503.069450842896,1.036688971406062
SVD+GMM,3,5,diag,0.26322979642816324,5872.225289531927,1.050314039570523,0.2558472111264771,1392.1943460855293,1.070143369567862
SVD+GMM,3,5,spherical,0.2798122128230673,6508.345974131729,0.9917917331985837,0.2729062216882424,1551.896321226698,1.010683387816763
SVD+GMM,3,6,full,0.26535213497034554,6137.854262687495,1.0196326298714102,0.264833876664761,1495.8517011162512,1.0181897855653121
SVD+GMM,3,6,tied,0.2652182637122174,6123.550051372174,0.9597664035566887,0.26396983326080814,1488.369959867391,0.9656702847851135
SVD+GMM,3,6,diag,0.2767499409833593,6441.089395675497,0.9930895560892209,0.274701681135819,1577.4855380215458,0.9904758893731076
SVD+GMM,3,6,spherical,0.27777898087204983,6460.264483282241,0.9889564262941152,0.27571424107800446,1581.882274078119,0.9862079442621274
SVD+GMM,3,8,full,0.24084779026254693,5564.194142903533,1.164337423955851,0.23998227299832808,1367.1012469535922,1.1713519358001672
SVD+GMM,3,8,tied,0.2307118976205093,5213.058274533422,1.001119820329919,0.23069069854063187,1273.4967329777166,1.0152385425080013
SVD+GMM,3,8,diag,0.25092698236422295,5744.504587091445,1.080685964111884,0.24750559820013462,1396.346835884806,1.1041505997160757
SVD+GMM,3,8,spherical,0.25407097700685355,5827.438224414469,1.0774001289608175,0.2508471198074724,1415.0613127348697,1.097570016365002
SVD+GMM,3,10,full,0.20167971680898966,4607.136662273618,1.2190237069176986,0.2043891596659327,1144.752439928682,1.2169490870837634
SVD+GMM,3,10,tied,0.23225286412535154,5053.610847925568,1.1013979434064227,0.2341621271820872,1242.586893857122,1.0921221563220156
SVD+GMM,3,10,diag,0.23021713159629892,5293.052490084924,1.0778454639711865,0.23153172253533508,1303.4348957535283,1.0686671737517046
SVD+GMM,3,10,spherical,0.2260605613273294,5430.821326232501,1.0842592292178772,0.22313811545428158,1327.1298682388801,1.086133755638063
SVD+GMM,5,2,full,0.4962334474306695,2759.1075916029154,0.6300964294440764,0.49224133575479173,671.3289170427855,0.6380028315863401
SVD+GMM,5,2,tied,0.216577562128779,4536.5238387461395,1.67545069915838,0.21000529756866784,1082.337676604819,1.7203463707878712
SVD+GMM,5,2,diag,0.4962334474306695,2759.1075916029154,0.6300964294440764,0.49224133575479173,671.3289170427855,0.6380028315863401
SVD+GMM,5,2,spherical,0.2107175540628358,4398.518652718015,1.6921706354872303,0.20460222790740662,1046.4490387425878,1.736745514408095
