model,n_components,k,linkage,tr_silhouette,tr_calinski_harabasz,tr_davies_bouldin,te_silhouette,te_calinski_harabasz,te_davies_bouldin
PCA+Agglomerative,3,5,complete,0.17615970551349025,4231.538869726126,1.179140615324451,0.255382720540916,1461.8610640280256,1.065161028314331
PCA+Agglomerative,3,5,average,0.23721030920169728,870.4380800539085,0.700511006207919,0.18501722095062614,556.3472486453112,1.103555734991563
PCA+Agglomerative,3,6,ward,0.2051215315170759,4917.602944422082,1.0865350393206923,0.2535353978545815,1513.025180891904,1.0356878381123378
PCA+Agglomerative,3,6,complete,0.16750114394321647,4026.1445394257403,1.1103099405134336,0.26176937796041977,1488.1161300498088,1.0036137498930253
PCA+Agglomerative,3,6,average,0.15243522772883628,922.8052674518801,0.7459546089808637,0.1463265050815525,691.9392215403774,1.109045295272788
PCA+Agglomerative,3,8,ward,0.1859594430856059,4738.020229132913,1.2526459749897034,0.23158551061810762,1404.4788179291154,1.1525292096411353
PCA+Agglomerative,3,8,complete,0.15225565682976977,3743.45845567976,1.23067581332064,0.24187913244395415,1351.7895823708016,1.1065503292429306
PCA+Agglomerative,3,8,average,0.14425046821166185,2021.0828220939127,0.9409018635208652,0.18754035096875987,922.3117897439134,1.0984331008562735
PCA+Agglomerative,3,10,ward,0.18015129398277627,4529.335856905034,1.2113096829469168,0.2330177265145944,1311.322950805552,1.1579788257886405
PCA+Agglomerative,3,10,complete,0.12186807758046687,3443.2555312186987,1.3850198502560471,0.21456703209386727,1233.662933267018,1.1930100833238957
PCA+Agglomerative,3,10,average,0.13042459395063516,1794.83420406936,0.9149674401656597,0.18913011014034428,841.1326630418399,1.0804933136869377
PCA+Agglomerative,5,2,ward,0.2116028257608005,2951.905881512114,1.9626838935358397,0.21962787656258845,977.2692578847266,1.7810381851534915
PCA+Agglomerative,5,2,complete,0.18963141646638904,2932.784270148421,2.0529631051620347,0.21722655382184158,1024.9852963388141,1.7669021614533535
PCA+Agglomerative,5,2,average,0.49679804124228766,2766.6180724733053,0.6292534391491816,0.49284705404901674,673.2899698126231,0.6370871244763294
PCA+Agglomerative,5,3,ward,0.21099988816805984,3464.544345647516,1.3094776510721946,0.2401978533010906,1045.2150062244216,1.2441318717695136
PCA+Agglomerative,5,3,complete,0.17721621348448408,2667.9563872396234,1.639967912794405,0.2400054505746635,1062.6949831893778,1.2579484931016447
PCA+Agglomerative,5,3,average,0.24909157133611404,1792.7964920426,0.9324671755420898,0.20826222810575856,681.5021020585488,1.1991776472679727
PCA+Agglomerative,5,4,ward,0.17842550745682,3680.836424622258,1.4536907695858639,0.21816531261391947,1104.2567474913392,1.2772164419695993
PCA+Agglomerative,5,4,complete,0.14185986580371993,2775.4475896184067,1.6784188601494174,0.22253972707802627,1140.5974512447415,1.2512771441121873
PCA+Agglomerative,5,4,average,0.14150831941659475,1386.9228534705735,1.1142870126517153,0.1674803770705225,649.761300538216,1.3408920120460215
PCA+Agglomerative,5,5,ward,0.13269735932572338,3353.592717933219,1.4824889020529386,0.19207834217198586,1047.7247744161832,1.3333922257301143
PCA+Agglomerative,5,5,complete,0.14080140030499697,2948.727512858498,1.377978333145459,0.19543935357252942,995.6314568656651,1.2575255246146773
PCA+Agglomerative,5,5,average,0.07593727588765753,1057.4568355175702,1.0644696494369832,0.13091030387146343,599.1324943909351,1.3673936380937857
PCA+Agglomerative,5,6,ward,0.1386034812069919,3236.673791247188,1.5037097960437842,0.1887038765434291,984.9244593215567,1.3392013845234343
PCA+Agglomerative,5,6,complete,0.10720492362077194,2648.2336918356327,1.487420186313045,0.16841748846691926,931.2060383523647,1.3768935538908258
PCA+Agglomerative,5,6,average,0.08285355645000733,1623.717435467955,1.1673600242105777,0.1522331253894062,734.334861686413,1.3169329726366266
